"Lista de productos de MINISUPER LA QUINTA ENTRADA (5-0357-0499)"
"Bodega seleccionada: Todas las bodegas"

Código,Descripción,"Código de barras","Código CABYS",Actividad,"% IVA",Unidad,Inventario,"Punto de pedido","Punto ideal","Cantidad de pedido","Precio de costo","Total precio de costo","Precio costo IVA","Total precio de costo IVA",Utilidad,"Porcentaje de Utilidad",Impuesto,"Precio de venta","Total precio de venta",Familia,Proveedor,"Identificación proveedor","Código producto proveedor",Talla,Marca,Linea,"Ultima compra","Ultima venta","Días sin venta"
012616,"((ABRILLANTADOR SHINE VAINILLA UNIMAX 300ML 1x20",7445163000086,3511099000100,4711.2,13,Unid,0,0,0,0,1751.8,0,0,0,372.09,"21 %",276.11,2400,0,Autos,"DISTRIBUIDORA MAOSKAR",3101571009,907049,TODAS,,,Nunca.,Nunca.,183
007958,"((AKSI CANDADO HIERRO NEGRO 50MM MAXTOOL 1x12",7506198108137,4299201010000,4711.2,13,Unid,0,0,0,0,1977,0,0,0,500.88,"25 %",322.12,2800,0,Ferreteria,"DISTRIBUIDORA MAOSKAR",3101571009,908063,TODAS,,,Nunca.,Nunca.,183
013023,"((BROCHA ECONOMICA 1/2 1x25x24",7502239098658,3899304020000,4711.2,13,Unid,1,0,0,0,263.15,263.15,297.36,297.36,90.83,"35 %",46.02,400,400,Ferreteria,"DISTRIBUIDORA MAOSKAR",3101571009,907065,TODAS,,,Nunca.,"21:12:22 13/12/2025",86
008779,"((BROCHA ECONOMICA x 2x34; x 1x20",7502239098696,3899304020000,4711.2,13,Unid,2,0,0,0,646,1292,729.98,1459.96,238.96,"37 %",115.04,1000,2000,Ferreteria,"DISTRIBUIDORA MAOSKAR",3101571009,904580,TODAS,,,"13:02:31 21/02/2026","15:02:52 12/02/2026",26
013895,"((CANASTA P/DESAGUE FREG MIBER LANZAMATICA RC-LAT",7501325112063,4291101039900,4711.2,13,Unid,1,0,0,0,1106.19,1106.19,1249.99,1249.99,221.24,"20 %",172.57,1500,1500,Ferretaria,"DISTRIBUIDORA MAOSKAR",3101571009,909381,TODAS,,,Nunca.,Nunca.,183
013747,"((CANDADO HIERRO COLOR LATON BRONCE 60MM FANAL",798660001047,4299201010000,4711.2,13,Unid,2,0,0,0,2690.27,5380.54,3040.01,6080.01,539.82,"20 %",419.91,3650,7300,Ferretaria,"DISTRIBUIDORA MAOSKAR",3101571009,909377,TODAS,,,Nunca.,Nunca.,183
013844,"((CANDADO HIERRO COLOR PLATA 50MM FANAL",798660214461,4299201010000,4711.2,13,Unid,1,0,0,0,2766,2766,3125.58,3125.58,596.83,"22 %",437.17,3800,3800,Ferreteria,"DISTRIBUIDORA MAOSKAR",3101571009,903480,TODAS,,,Nunca.,Nunca.,183
012195,"((EAGLE APAGADOR DOBLE PLATA #1004W",7441109000394,3695099010000,4711.2,13,Unid,1,0,0,0,1804.05,1804.05,2038.58,2038.58,452.59,"25 %",293.36,2550,2550,Ferreteria,"DISTRIBUIDORA MAOSKAR",3101571009,906499,TODAS,,,Nunca.,Nunca.,183
012245,"((EXTENSION ELECTRICA 2MTS BLANCA AKSI",7502239098085,4634001020100,4711.2,13,Unid,4,0,0,0,1106.19,4424.76,1249.99,4999.98,575.23,"52 %",218.58,1900,7600,Ferreteria,"DISTRIBUIDORA MAOSKAR",3101571009,908362,TODAS,,,Nunca.,"14:11:28 23/11/2025",107
007665,"((LAPIZ P/CARPINTERO LYRA ROJO",4084900210086,2225199000100,4711.2,13,Unid,2,0,0,0,526.3,1052.6,594.72,1189.44,137.42,"26 %",86.28,750,1500,Ferre,"DISTRIBUIDORA MAOSKAR",3101571009,903851,TODAS,,,Nunca.,Nunca.,183
013998,"((LIMPIADOR CONCENTRADO P/ PARABRISAS",7441060602408,3532201990200,4711.2,13,Unid,3,0,0,0,406,1218,458.78,1376.34,124.97,"31 %",69.03,600,1800,Autos,"DISTRIBUIDORA MAOSKAR",3101571009,908153,TODAS,,,Nunca.,Nunca.,183
012196,"((TAPE ELEC NEGRO GDE MAXTOOL 18MMx15MTS (305002)",7506198101060,3692000000100,4711.2,13,Unid,-3,0,0,3,337,0,0,0,282.47,"84 %",80.53,700,0,Ferreteria,"DISTRIBUIDORA MAOSKAR",3101571009,907954,TODAS,,,Nunca.,"11:11:02 03/11/2025",127
014358,"(0070) FRIJOL BLANCO PRONUTRE 400 G",7441028300070,0170102000300,4711.2,1,Unid,-1,0,0,1,676.5,0,0,0,165.08,"24 %",8.42,850,0,Granos,"Distribuidora Panal",3101085674,370004,TODAS,,,Nunca.,Nunca.,183
013729,"(0087) SIROPE DE MAPLE EL ANGEL 475 G",7441004160087,2353002000000,4711.2,13,Unid,-1,0,0,1,1665.03,0,0,0,348.24,"21 %",261.73,2275,0,Cocina,"Distribuidora Panal",3101085674,100097,TODAS,,,"18:11:15 11/11/2025","10:03:57 08/03/2026",2
014512,"(2429) ARROZ 99% BLACK LIBORIO 1 KG",7441047002429,2316100000100,4711.2,1,Unid,3,0,0,0,870.84,2612.52,879.55,2638.65,94.51,"11 %",9.65,975,2925,Cocina,"Distribuidora Panal",3101085674,319014,TODAS,,,"19:03:45 03/03/2026","10:03:34 02/03/2026",8
014366,"(5+1) 473ml SIXPACK LIGHT",764009056009,2431000000000,4711.2,13,Unid,10,0,0,0,4793.52,47935.2,5416.68,54166.78,958.69,"20 %",747.79,6500,65000,Productos,,,,TODAS,,,Nunca.,"17:03:56 01/03/2026",9
014241,"(5+1) 473ml SIXPACK PILSEN",764009055996,2431000000000,4711.2,13,Unid,141,0,0,0,4793.52,675886.32,5416.68,763751.54,958.69,"20 %",747.79,6500,916500,Licor,"PROYECCION COMERCIAL DE IDEAS SA, PROYECCION COMERCIAL DE IDEAS SA","3101265512, 3101265512","5165, 5167",TODAS,,,"07:03:46 05/03/2026","17:02:57 14/02/2026",24
014240,"(5+1) 473ml SIXPACK SILVER",764009055989,2431000000000,4711.2,13,Unid,26,0,0,0,4793.52,124631.52,5416.68,140833.62,958.69,"20 %",747.79,6500,169000,Licor,"PROYECCION COMERCIAL DE IDEAS SA",3101265512,5166,TODAS,,,"07:03:46 05/03/2026","18:12:31 28/12/2025",72
